FID,ECB,Y,Ylog,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
80,0,0,0,2,7,0,0,2,1,0,0,0,0,0,0,0,0,0
81,0,0,0,3,2,0,0,3,0,0,0,0,1,1,0,5,0,0
82,0,0,0,0,3,0,0,6,0,0,0,0,0,1,0,0,0,0
83,0,0,0,2,11,0,0,4,2,0,0,0,1,2,0,0,0,0
84,0,0,0,7,9,0,2,5,0,1,0,0,1,1,1,3,0,0
85,0,0,0,4,26,0,0,9,3,0,0,1,5,17,2,6,0,0
86,0,0,0,7,22,0,0,11,4,0,0,0,8,12,1,10,0,0
87,0,0,0,14,30,0,2,13,3,4,0,1,9,16,3,9,0,0
89,0,0,0,5,10,0,2,10,1,2,0,0,28,5,3,2,0,1
91,0,0,0,3,11,0,1,3,0,1,0,0,14,4,2,3,0,0
92,0,0,0,17,11,1,0,13,2,3,0,1,6,10,3,4,0,3
93,0,0,0,16,23,0,1,17,11,2,0,5,35,18,0,2,2,8
94,0,0,0,1,27,0,0,4,6,0,0,1,9,8,0,5,7,0
95,0,0,0,8,29,0,0,13,6,1,1,2,11,9,6,3,32,1
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,2,5,0,0,3,0,0,0,1,0,5,0,3,0,1
100,0,0,0,7,19,0,1,11,0,0,0,0,4,10,1,11,0,1
101,0,0,0,0,1,0,0,10,0,0,0,0,1,0,0,0,0,0
102,0,0,0,1,6,0,0,1,0,0,2,0,0,0,0,2,0,0
103,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
104,0,0,0,1,13,0,0,11,0,0,0,0,1,0,2,4,0,0
105,0,0,0,5,19,0,2,8,0,1,0,1,1,9,2,3,0,1
106,0,0,0,14,18,0,4,13,0,1,3,0,1,8,1,15,0,0
107,0,0,0,1,5,1,0,3,1,1,0,0,1,1,0,3,0,0
111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,6,32,1,0,7,3,3,1,5,15,17,0,4,7,7
114,0,0,0,4,24,0,1,3,1,2,1,0,17,15,1,2,7,4
115,0,0,0,3,2,0,0,5,0,0,0,1,1,3,0,1,0,0
116,0,0,0,4,7,0,0,8,1,0,0,0,6,8,0,4,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,13,27,0,0,15,1,0,0,0,9,8,1,7,1,0
119,0,0,0,8,43,0,0,9,1,0,0,0,1,30,8,13,0,0
120,0,0,0,4,6,2,0,8,0,0,0,0,1,1,1,0,0,0
121,0,0,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,1,3,0,0,2,0,0,0,0,3,2,0,0,0,0
124,0,0,0,6,15,0,0,10,0,3,1,0,4,7,1,6,0,0
125,0,0,0,14,22,0,1,12,3,0,2,0,3,7,2,10,0,1
127,0,0,0,10,16,0,1,12,5,3,0,1,7,12,13,7,0,3
129,0,0,0,9,15,0,0,14,0,0,3,1,10,8,15,8,0,2
130,0,0,0,26,39,0,1,27,3,0,0,0,8,31,29,22,1,0
131,0,0,0,26,12,0,1,26,2,0,1,1,10,34,19,11,1,4
132,0,0,0,21,7,0,1,30,6,1,1,0,16,47,49,93,0,1
133,0,0,0,8,35,0,1,28,4,3,2,3,38,37,21,56,0,11
134,0,0,0,7,26,0,1,10,1,4,0,4,24,11,21,14,0,1
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,9,21,0,1,12,2,0,2,1,6,11,3,43,5,1
139,0,0,0,11,29,0,6,10,0,0,0,0,8,7,1,10,46,0
140,0,0,0,4,19,0,0,6,1,0,1,1,5,6,1,7,6,0
141,0,0,0,3,4,0,3,5,0,0,0,0,8,3,3,18,0,0
142,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,2,4,0,0,1,1,0,1,0,0,1,3,0,0,0
144,0,0,0,2,6,0,0,1,0,0,1,0,0,2,0,0,0,0
145,0,0,0,3,17,1,0,5,0,0,0,1,4,4,1,5,0,1
146,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0
147,0,0,0,4,6,0,0,9,0,1,0,0,3,3,0,1,0,0
148,0,0,0,4,14,0,0,7,1,0,0,0,2,8,1,10,0,1
149,0,0,0,4,6,0,0,3,0,1,0,0,2,4,1,3,0,0
150,0,0,0,4,7,0,0,3,0,1,1,0,3,1,0,0,0,0
151,0,0,0,1,6,1,0,5,0,0,0,0,3,1,0,0,0,1
153,0,0,0,11,19,0,0,16,0,0,0,0,11,6,3,11,0,0
154,0,0,0,10,13,0,0,7,1,0,1,2,1,14,0,10,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,12,108,0,0,11,2,6,1,1,15,28,5,6,1,4
157,0,0,0,20,47,1,0,19,7,1,1,4,16,24,2,4,0,2
158,0,0,0,20,8,0,0,18,4,0,0,2,15,19,41,13,1,5
159,0,0,0,20,24,0,0,21,2,5,0,1,10,20,40,28,0,2
160,0,0,0,45,10,1,1,36,2,4,2,0,22,33,12,16,0,5
161,0,0,0,30,14,1,0,25,1,0,1,3,20,28,20,52,0,6
162,0,0,0,6,54,1,0,4,2,1,1,4,13,12,19,17,0,2
163,0,0,0,2,7,0,0,1,1,2,0,0,2,5,1,5,0,5
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
